"id"	"id_3char"	"name"
"afago"	"ago"	"Angola"
"afbdi"	"bdi"	"Burundi"
"afben"	"ben"	"Benin"
"afbfa"	"bfa"	"Burkina Faso"
"afbwa"	"bwa"	"Botswana"
"afcaf"	"caf"	"Central African Republic"
"afciv"	"civ"	"Cote d'Ivoire"
"afcmr"	"cmr"	"Cameroon"
"afcod"	"cod"	"Democratic Republic of the Congo"
"afcog"	"cog"	"Republic of the Congo"
"afcom"	"com"	"Comoros"
"afcpv"	"cpv"	"Cape Verde"
"afdji"	"dji"	"Djibouti"
"afdza"	"dza"	"Algeria"
"afegy"	"egy"	"Egypt"
"aferi"	"eri"	"Eritrea"
"afesh"	"esh"	"Western Sahara"
"afeth"	"eth"	"Ethiopia"
"afgab"	"gab"	"Gabon"
"afgha"	"gha"	"Ghana"
"afgin"	"gin"	"Guinea"
"afgmb"	"gmb"	"Gambia"
"afgnb"	"gnb"	"Guinea-Bissau"
"afgnq"	"gnq"	"Equatorial Guinea"
"afken"	"ken"	"Kenya"
"aflbr"	"lbr"	"Liberia"
"aflby"	"lby"	"Libya"
"aflso"	"lso"	"Lesotho"
"afmar"	"mar"	"Morocco"
"afmdg"	"mdg"	"Madagascar"
"afmli"	"mli"	"Mali"
"afmoz"	"moz"	"Mozambique"
"afmrt"	"mrt"	"Mauritania"
"afmus"	"mus"	"Mauritius"
"afmwi"	"mwi"	"Malawi"
"afmyt"	"myt"	"Mayotte"
"afnam"	"nam"	"Namibia"
"afner"	"ner"	"Niger"
"afnga"	"nga"	"Nigeria"
"afreu"	"reu"	"Reunion"
"afrwa"	"rwa"	"Rwanda"
"afsdn"	"sdn"	"Sudan"
"afsen"	"sen"	"Senegal"
"afshn"	"shn"	"Saint Helena"
"afsle"	"sle"	"Sierra Leone"
"afsom"	"som"	"Somalia"
"afssd"	"ssd"	"South Sudan"
"afstp"	"stp"	"Sao Tome and Principe"
"afswz"	"swz"	"Swaziland"
"afsyc"	"syc"	"Seychelles"
"aftcd"	"tcd"	"Chad"
