year,origin_id,dest_id,product_name,id,hs92,export_val,export_val_growth_pct,export_val_growth_pct_5,export_val_growth_val,export_val_growth_val_5,world_total_export_val,origin_total_export_val,import_val,import_val_growth_pct,import_val_growth_val,import_val_growth_pct_5,import_val_growth_val_5,world_total_import_val,origin_name,dest_name,trade_exchange_val,pci,pci_rank,pci_rank_delta,rca,top_importer_code,top_importer,top_exporter_code,top_exporter,group_name,group_id,color,icon
2015,chl,chn,Bovine,010102,0102,90901025.2,NA,NA,NA,NA,8346649288.65,91027970.58,NA,NA,NA,NA,NA,8346649288.65,Chile,China,NA,-0.783,944,-36,2.372,usa,United States,fra,France,Animal Products,01,#e8d58e,d3plus-1.9.8/icons/hs/hs_01.png
2015,chl,chn,Other Animals,010106,0106,2376014.63,3.486,0.8,1846381.26,2250144.88,1306225456.38,4016487.55,NA,NA,NA,NA,NA,1306225456.38,Chile,China,NA,-1.638,1145,-34,0.669,usa,United States,nld,Netherlands,Animal Products,01,#e8d58e,d3plus-1.9.8/icons/hs/hs_01.png
2015,chl,chn,Bovine Meat,010201,0201,236951,NA,1.167,NA,231996,20877681190.3,7693133.21,NA,NA,NA,NA,NA,20877681190.3,Chile,China,NA,0.001,664,31,0.08,usa,United States,aus,Australia,Animal Products,01,#e8d58e,d3plus-1.9.8/icons/hs/hs_01.png
2015,chl,chn,Frozen Bovine Meat,010202,0202,2285236.22,NA,NA,NA,NA,20933877410,23687885.61,NA,NA,NA,NA,NA,20933877410,Chile,China,NA,-0.845,965,-33,0.246,usa,United States,aus,Australia,Animal Products,01,#e8d58e,d3plus-1.9.8/icons/hs/hs_01.png
2015,chl,chn,Pig Meat,010203,0203,48758168.71,0.387,3.316,13602058.26,48725610.71,25051884668.9,398909345.36,NA,NA,NA,NA,NA,25051884668.9,Chile,China,NA,0.877,248,113,3.464,jpn,Japan,deu,Germany,Animal Products,01,#e8d58e,d3plus-1.9.8/icons/hs/hs_01.png
2015,chl,chn,Sheep and Goat Meat,010204,0204,1951918.08,25.369,NA,1877895.08,NA,6342546651.93,30372196.83,NA,NA,NA,NA,NA,6342546651.93,Chile,China,NA,-1.374,1090,-23,1.042,usa,United States,nzl,New Zealand,Animal Products,01,#e8d58e,d3plus-1.9.8/icons/hs/hs_01.png
2015,chl,chn,Edible Offal,010206,0206,32637455.37,0.15,2.069,4252958.36,32517592.37,7135637067.96,54168001.91,NA,NA,NA,NA,NA,7135637067.96,Chile,China,NA,-0.331,778,-37,1.651,chn,China,usa,United States,Animal Products,01,#e8d58e,d3plus-1.9.8/icons/hs/hs_01.png
2015,chl,chn,Poultry Meat,010207,0207,61095401.49,1.087,0.23,31820843.7,39395240.17,24195821231.8,386775914.04,NA,NA,NA,NA,NA,24195821231.8,Chile,China,NA,0.419,462,95,3.477,sau,Saudi Arabia,bra,Brazil,Animal Products,01,#e8d58e,d3plus-1.9.8/icons/hs/hs_01.png
2015,chl,chn,Animal Fat,010209,0209,773552.93,0.943,NA,375348.14,NA,466501275.07,20400427.5,NA,NA,NA,NA,NA,466501275.07,Chile,China,NA,0.359,489,-45,9.512,mex,Mexico,deu,Germany,Animal Products,01,#e8d58e,d3plus-1.9.8/icons/hs/hs_01.png
2015,chl,chn,Preserved Meat,010210,0210,48050,NA,NA,NA,NA,4331067317.6,18702696.09,NA,NA,NA,NA,NA,4331067317.6,Chile,China,NA,0.408,465,-126,0.939,gbr,United Kingdom,ita,Italy,Animal Products,01,#e8d58e,d3plus-1.9.8/icons/hs/hs_01.png
2015,chl,chn,Non-fillet Fresh Fish,010302,0302,35773235.86,0.715,2.098,14918714.71,35647802.86,14536843961.3,508258903.96,19700.05,-0.905,-187391.61,NA,NA,14536843961.3,Chile,China,35792935.91,-1.375,1091,-29,7.605,usa,United States,nor,Norway,Animal Products,01,#e8d58e,d3plus-1.9.8/icons/hs/hs_01.png
2015,chl,chn,Non-fillet Frozen Fish,010303,0303,62911788.98,-0.44,0.039,-49374700.83,10897370.26,20738034033.9,1349246770.37,288715.81,0.474,92837.51,0.393,233721.16,20738034033.9,Chile,China,63200504.79,-1.713,1156,-18,14.152,chn,China,usa,United States,Animal Products,01,#e8d58e,d3plus-1.9.8/icons/hs/hs_01.png
