"","year","group","product_id","product","group_id","import_val","export_val","trade_exchange_val","world_trade_val","rca","color","image"
"1",2014,"Animal and Vegetable Bi-Products","031501","Pig and Poultry Fat","03",11013872.41,NA,11013872.41,482506406.11,NA,"#e0902f","d3plus/icons/hs/hs_03.png"
"2",2014,"Animal and Vegetable Bi-Products","031502","Bovine, Sheep, and Goat Fat","03",2996543.3,142721.65,3139264.95,1238248602.43,"0.03","#e0902f","d3plus/icons/hs/hs_03.png"
"3",2014,"Animal and Vegetable Bi-Products","031503","Lard","03",2722.65,NA,2722.65,75736567.2,NA,"#e0902f","d3plus/icons/hs/hs_03.png"
"4",2014,"Animal and Vegetable Bi-Products","031504","Fish Oil","03",105381460.01,166187708.23,271569168.24,1953627732.09,"19.4","#e0902f","d3plus/icons/hs/hs_03.png"
"5",2014,"Animal and Vegetable Bi-Products","031505","Wool Grease","03",1682798.72,940944.08,2623742.8,280646513.97,"0.76","#e0902f","d3plus/icons/hs/hs_03.png"
"6",2014,"Animal and Vegetable Bi-Products","031506","Other Animal Fats","03",589217.53,85824.61,675042.14,391015280.88,"0.05","#e0902f","d3plus/icons/hs/hs_03.png"
"7",2014,"Animal and Vegetable Bi-Products","031507","Soybean Oil","03",108545578.16,48215.48,108593793.64,9383666453.2,"0","#e0902f","d3plus/icons/hs/hs_03.png"
"8",2014,"Animal and Vegetable Bi-Products","031508","Ground Nut Oil","03",47260,NA,47260,367864678.8,NA,"#e0902f","d3plus/icons/hs/hs_03.png"
"9",2014,"Animal and Vegetable Bi-Products","031509","Pure Olive Oil","03",2416363.11,41567621.29,43983984.4,7036321189.43,"1.35","#e0902f","d3plus/icons/hs/hs_03.png"
"10",2014,"Animal and Vegetable Bi-Products","031510","Olive Oil","03",26103.93,70535.31,96639.24,358162935.79,"0.04","#e0902f","d3plus/icons/hs/hs_03.png"
"11",2014,"Animal and Vegetable Bi-Products","031511","Palm Oil","03",17128535.66,9029,17137564.66,35387896237.8,"0","#e0902f","d3plus/icons/hs/hs_03.png"
"12",2014,"Animal and Vegetable Bi-Products","031512","Seed Oils","03",48650334.38,248300.9,48898635.28,10246596603.3,"0.01","#e0902f","d3plus/icons/hs/hs_03.png"
"13",2014,"Animal and Vegetable Bi-Products","031513","Coconut Oil","03",6868880.17,36049.58,6904929.75,6279520437.36,"0","#e0902f","d3plus/icons/hs/hs_03.png"
"14",2014,"Animal and Vegetable Bi-Products","031514","Rapeseed Oil","03",85475248.1,12234673.65,97709921.75,6942010199.55,"0.4","#e0902f","d3plus/icons/hs/hs_03.png"
"15",2014,"Animal and Vegetable Bi-Products","031515","Other Pure Vegetable Oils","03",18696348.64,13000361.84,31696710.48,3884815199.9,"0.76","#e0902f","d3plus/icons/hs/hs_03.png"
"16",2014,"Animal and Vegetable Bi-Products","031516","Other Vegetable Oils","03",45040395.67,26150766.65,71191162.32,3693312137.94,"1.61","#e0902f","d3plus/icons/hs/hs_03.png"
