"","year","origin_id","destination_id","group","product","hs92_id","hs92_group","export_val","import_val","trade_exchange_val","world_total_export_val","origin_total_export_val","pci","pci_rank","rca","top_exporter","top_importer","icon","color"
"1",2010,"sachl","aschn","Animal and Vegetable Bi-Products","Fish Oil","031504","03",9908589.92,38179.04,9946768.96,1288595170.65,51053849.28,-0.704,909,1.36,"saper","eunor","d3plus-1.9.8/icons/hs92/hs92_03.png","#e0902f"
"2",2010,"sachl","aschn","Animal and Vegetable Bi-Products","Wool Grease","031505","03",NA,32007.86,32007.86,202692687.03,791393.93,0.276,516,NA,"aschn","nausa","d3plus-1.9.8/icons/hs92/hs92_03.png","#e0902f"
"3",2010,"sachl","aschn","Animal and Vegetable Bi-Products","Pure Olive Oil","031509","03",46782.8,NA,46782.8,5479677534.47,15155677.12,-0.515,844,0,"euesp","euita","d3plus-1.9.8/icons/hs92/hs92_03.png","#e0902f"
"4",2010,"sachl","aschn","Animal and Vegetable Bi-Products","Olive Oil","031510","03",1332.49,NA,1332.49,240442372.89,17361.68,-0.583,871,0,"euesp","euita","d3plus-1.9.8/icons/hs92/hs92_03.png","#e0902f"
"5",2010,"sachl","aschn","Animal and Vegetable Bi-Products","Other Pure Vegetable Oils","031515","03",44551.89,27130.56,71682.45,3307213034.66,9765627.53,-1.141,1050,0,"asind","aschn","d3plus-1.9.8/icons/hs92/hs92_03.png","#e0902f"
"6",2010,"sachl","aschn","Animal and Vegetable Bi-Products","Other Vegetable Oils","031516","03",1415.17,NA,1415.17,3475736283.85,571490.54,-1.053,1027,0,"asmys","eudeu","d3plus-1.9.8/icons/hs92/hs92_03.png","#e0902f"
"7",2010,"sachl","aschn","Animal and Vegetable Bi-Products","Margarine","031517","03",2451728.14,4875.82,2456603.96,4718359283.65,6586767.29,-0.849,953,0.09,"eublx","eufra","d3plus-1.9.8/icons/hs92/hs92_03.png","#e0902f"
"8",2010,"sachl","aschn","Animal and Vegetable Bi-Products","Stearic Acid","031519","03",NA,178993.28,178993.28,6224485624.83,150148.78,-0.027,652,NA,"asmys","eunld","d3plus-1.9.8/icons/hs92/hs92_03.png","#e0902f"
"9",2010,"sachl","aschn","Animal and Vegetable Bi-Products","Glycerol","031520","03",NA,2876.3,2876.3,821158352.86,5681.67,0.006,639,NA,"eudeu","aschn","d3plus-1.9.8/icons/hs92/hs92_03.png","#e0902f"
"10",2010,"sachl","aschn","Animal and Vegetable Bi-Products","Waxes","031521","03",NA,3690.13,3690.13,286374558.2,181742.31,-1.606,1143,NA,"sabra","nausa","d3plus-1.9.8/icons/hs92/hs92_03.png","#e0902f"
"11",2010,"sachl","aschn","Animal Hides","Equine and Bovine Hides","084101","08",858014,NA,858014,4774367538.78,7980118.32,-0.928,984,0.03,"nausa","aschn","d3plus-1.9.8/icons/hs92/hs92_08.png","#98df8a"
"12",2010,"sachl","aschn","Animal Hides","Sheep Hides","084102","08",1771609.43,NA,1771609.43,1028683179.56,3266148.31,-1.651,1150,0.31,"ocaus","aschn","d3plus-1.9.8/icons/hs92/hs92_08.png","#98df8a"
"13",2010,"sachl","aschn","Animal Hides","Tanned Equine and Bovine Hides","084104","08",3310335.36,1317,3311652.36,15339736680.4,23565828.44,-1.137,1049,0.04,"euita","aschn","d3plus-1.9.8/icons/hs92/hs92_08.png","#98df8a"
"14",2010,"sachl","aschn","Animal Hides","Tanned Goat Hides","084106","08",22786.81,NA,22786.81,1812558680.63,51471.81,-2.545,1217,0,"afnga","afzaf","d3plus-1.9.8/icons/hs92/hs92_08.png","#98df8a"
"15",2010,"sachl","aschn","Animal Hides","Leather of Other Animals","084107","08",NA,852008.26,852008.26,1639366834.83,170467,-1.589,1140,NA,"afnga","asind","d3plus-1.9.8/icons/hs92/hs92_08.png","#98df8a"
"16",2010,"sachl","aschn","Animal Hides","Patent Leather","084109","08",NA,2091,2091,489091550.78,414315,-1.132,1048,NA,"euita","aschn","d3plus-1.9.8/icons/hs92/hs92_08.png","#98df8a"
"17",2010,"sachl","aschn","Animal Hides","Leather Sheets","084111","08",NA,2541.7,2541.7,170812251.55,NA,-0.244,747,NA,"eudeu","ashkg","d3plus-1.9.8/icons/hs92/hs92_08.png","#98df8a"
"18",2010,"sachl","aschn","Animal Hides","Saddlery","084201","08",NA,606998.95,606998.95,1122109683.02,38120,-0.651,892,NA,"aschn","nausa","d3plus-1.9.8/icons/hs92/hs92_08.png","#98df8a"
"19",2010,"sachl","aschn","Animal Hides","Trunks and Cases","084202","08",6459.39,139833505.33,139839964.72,35509716527.7,19403075.65,-0.268,758,0,"aschn","nausa","d3plus-1.9.8/icons/hs92/hs92_08.png","#98df8a"
"20",2010,"sachl","aschn","Animal Hides","Leather Apparel","084203","08",NA,7027660.31,7027660.31,7652157139.58,385084.46,-0.809,940,NA,"aschn","nausa","d3plus-1.9.8/icons/hs92/hs92_08.png","#98df8a"
"21",2010,"sachl","aschn","Animal Hides","Other Leather Articles","084205","08",2943.26,440672.88,443616.14,1808452915.29,29299.35,-0.303,773,0,"aschn","nausa","d3plus-1.9.8/icons/hs92/hs92_08.png","#98df8a"
"22",2010,"sachl","aschn","Animal Hides","Furskin Apparel","084303","08",NA,424975.43,424975.43,1735551653.74,1325,-0.631,887,NA,"aschn","eurus","d3plus-1.9.8/icons/hs92/hs92_08.png","#98df8a"
"23",2010,"sachl","aschn","Animal Hides","Artificial Fur","084304","08",NA,36382.7,36382.7,58523808.95,NA,-0.824,946,NA,"aschn","eufra","d3plus-1.9.8/icons/hs92/hs92_08.png","#98df8a"
"24",2010,"sachl","aschn","Animal Products","Other Animals","010106","01",125228.26,NA,125228.26,1117909882.41,1702198.36,-1.593,1141,0.02,"eunld","nausa","d3plus-1.9.8/icons/hs92/hs92_01.png","#e8d58e"
"25",2010,"sachl","aschn","Animal Products","Bovine Meat","010201","01",4955,NA,4955,17630631217.6,34696145.26,0.166,568,0,"eunld","euita","d3plus-1.9.8/icons/hs92/hs92_01.png","#e8d58e"
"26",2010,"sachl","aschn","Animal Products","Pig Meat","010203","01",32558,NA,32558,25194947306.6,342899563.69,1.032,193,0,"eudeu","asjpn","d3plus-1.9.8/icons/hs92/hs92_01.png","#e8d58e"
"27",2010,"sachl","aschn","Animal Products","Edible Offal","010206","01",119863,NA,119863,4880988920.77,25585748.71,-0.152,705,0,"nausa","ashkg","d3plus-1.9.8/icons/hs92/hs92_01.png","#e8d58e"
"28",2010,"sachl","aschn","Animal Products","Poultry Meat","010207","01",23001702.79,NA,23001702.79,21506642719.4,234744477.44,0.149,579,0.19,"sabra","ashkg","d3plus-1.9.8/icons/hs92/hs92_01.png","#e8d58e"
"29",2010,"sachl","aschn","Animal Products","Non-fillet Fresh Fish","010302","01",125433,NA,125433,12829916009.9,281034894.56,-1.153,1052,0,"eunor","nausa","d3plus-1.9.8/icons/hs92/hs92_01.png","#e8d58e"
"30",2010,"sachl","aschn","Animal Products","Non-fillet Frozen Fish","010303","01",52048695.33,54856.75,52103552.08,20028862798.3,1067461707.41,-1.428,1113,0.46,"eurus","asjpn","d3plus-1.9.8/icons/hs92/hs92_01.png","#e8d58e"
"31",2010,"sachl","aschn","Animal Products","Fish Fillets","010304","01",2212328,1744372.16,3956700.16,18192004368.6,1113977965.9,-1.088,1039,0.02,"aschn","nausa","d3plus-1.9.8/icons/hs92/hs92_01.png","#e8d58e"
"32",2010,"sachl","aschn","Animal Products","Processed Fish","010305","01",88658.15,10774,99432.15,5298461153.21,83974170.21,-1.443,1117,0,"eunor","eudeu","d3plus-1.9.8/icons/hs92/hs92_01.png","#e8d58e"
"33",2010,"sachl","aschn","Animal Products","Crustaceans","010306","01",2467850.48,141895.02,2609745.5,17502244382,30944097.61,-1.838,1177,0.02,"astha","nausa","d3plus-1.9.8/icons/hs92/hs92_01.png","#e8d58e"
"34",2010,"sachl","aschn","Animal Products","Molluscs","010307","01",5420447.51,574168.22,5994615.73,9033448199.03,135543158.2,-1.828,1174,0.11,"aschn","euesp","d3plus-1.9.8/icons/hs92/hs92_01.png","#e8d58e"
"35",2010,"sachl","aschn","Animal Products","Concentrated Milk","010402","01",4714707.26,NA,4714707.26,17523489651.3,91507226.89,-0.996,1009,0.05,"ocnzl","aschn","d3plus-1.9.8/icons/hs92/hs92_01.png","#e8d58e"
"36",2010,"sachl","aschn","Animal Products","Fermented Milk Products","010403","01",3266.63,NA,3266.63,4056871571.41,92911.3,0.132,592,0,"eudeu","eugbr","d3plus-1.9.8/icons/hs92/hs92_01.png","#e8d58e"
"37",2010,"sachl","aschn","Animal Products","Cheese","010406","01",138011.51,NA,138011.51,25601450587,44657954.9,0.082,611,0,"eudeu","eudeu","d3plus-1.9.8/icons/hs92/hs92_01.png","#e8d58e"
"38",2010,"sachl","aschn","Animal Products","Honey","010409","01",2865.79,NA,2865.79,1518292980.53,31998371.47,-0.981,1004,0,"aschn","nausa","d3plus-1.9.8/icons/hs92/hs92_01.png","#e8d58e"
"39",2010,"sachl","aschn","Animal Products","Pig Hair","010502","01",NA,1309714.26,1309714.26,138947552.69,NA,-0.874,962,NA,"aschn","eudeu","d3plus-1.9.8/icons/hs92/hs92_01.png","#e8d58e"
"40",2010,"sachl","aschn","Animal Products","Animal Organs","010504","01",52287.93,NA,52287.93,3705718030.6,21462766.05,-0.961,994,0,"aschn","eudeu","d3plus-1.9.8/icons/hs92/hs92_01.png","#e8d58e"
"41",2010,"sachl","aschn","Animal Products","Bird Feathers and Skins","010505","01",NA,38425.43,38425.43,993092982.72,11376,0.566,406,NA,"aschn","nausa","d3plus-1.9.8/icons/hs92/hs92_01.png","#e8d58e"
"42",2010,"sachl","aschn","Animal Products","Coral and Shells","010508","01",NA,14813.88,14813.88,156988576.74,401927.86,-1.563,1136,NA,"asjpn","aschn","d3plus-1.9.8/icons/hs92/hs92_01.png","#e8d58e"
