"","year","origin_id","destination_id","hs92_product_name","hs92_group_name","hs92_product_id","hs92_group_id","hs92_color","export_val","import_val","trade_exchange_val","origin_total_export_val","world_total_export_val","pci","rca","pci_rank","hs92_icon","top_importer","top_exporter"
"1",2011,NA,NA,"Horses","Animal Products","0101","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png",NA,NA
"2",2011,NA,NA,"Bovine","Animal Products","0102","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png",NA,NA
"3",2011,NA,NA,"Pigs","Animal Products","0103","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png",NA,NA
"4",2011,NA,NA,"Sheep and Goats","Animal Products","0104","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png",NA,NA
"5",2011,NA,NA,"Poultry","Animal Products","0105","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png",NA,NA
"6",2011,"sachl","aschn","Other Animals","Animal Products","0106","01","#e8d58e",279632.76,NA,279632.76,1701229.13,1139706182.86,-1.711,0.045,1154,"d3plus-1.9.8/icons/hs92/hs92_01.png","United States","Netherlands"
"7",2011,NA,NA,"Bovine Meat","Animal Products","0201","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png",NA,NA
"8",2011,NA,NA,"Frozen Bovine Meat","Animal Products","0202","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png",NA,NA
"9",2011,"sachl","aschn","Pig Meat","Animal Products","0203","01","#e8d58e",5708289.27,NA,5708289.27,408078295.09,30124494899.8,1.038,0.035,182,"d3plus-1.9.8/icons/hs92/hs92_01.png","Japan","United States"
"10",2011,NA,NA,"Sheep and Goat Meat","Animal Products","0204","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png",NA,NA
"11",2011,NA,NA,"Horse Meat","Animal Products","0205","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png",NA,NA
"12",2011,"sachl","aschn","Edible Offal","Animal Products","0206","01","#e8d58e",3504747.43,NA,3504747.43,31788419.45,6399964438.06,-0.269,0.1,762,"d3plus-1.9.8/icons/hs92/hs92_01.png","Hong Kong","United States"
"13",2011,"sachl","aschn","Poultry Meat","Animal Products","0207","01","#e8d58e",32644743.97,NA,32644743.97,278406670.77,26108440490.8,0.426,0.228,443,"d3plus-1.9.8/icons/hs92/hs92_01.png","Hong Kong","Brazil"
"14",2011,NA,NA,"Other Meat","Animal Products","0208","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png",NA,NA
