"","year","origin_id","destination_id","product","group","hs92_id","hs92_group","color","export_val","import_val","trade_exchange_val","origin_total_export_val","world_total_export_val","pci","rca","pci_rank","top_exporter","top_importer","icon"
"getdata_interval_year_2011.1",2011,NA,NA,"Horses","Animal Products","010101","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png"
"getdata_interval_year_2011.2",2011,NA,NA,"Bovine","Animal Products","010102","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png"
"getdata_interval_year_2011.3",2011,NA,NA,"Pigs","Animal Products","010103","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png"
"getdata_interval_year_2011.4",2011,NA,NA,"Sheep and Goats","Animal Products","010104","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png"
"getdata_interval_year_2011.5",2011,NA,NA,"Poultry","Animal Products","010105","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png"
"getdata_interval_year_2011.6",2011,"sachl","aschn","Other Animals","Animal Products","010106","01","#e8d58e",279632.76,NA,279632.76,1701229.13,1139706182.86,-1.711,0.04,1154,"eunld","nausa","d3plus-1.9.8/icons/hs92/hs92_01.png"
"getdata_interval_year_2011.7",2011,NA,NA,"Bovine Meat","Animal Products","010201","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png"
"getdata_interval_year_2011.8",2011,NA,NA,"Frozen Bovine Meat","Animal Products","010202","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png"
"getdata_interval_year_2011.9",2011,"sachl","aschn","Pig Meat","Animal Products","010203","01","#e8d58e",5708289.27,NA,5708289.27,408078295.09,30124494899.8,1.038,0.03,182,"nausa","asjpn","d3plus-1.9.8/icons/hs92/hs92_01.png"
"getdata_interval_year_2011.10",2011,NA,NA,"Sheep and Goat Meat","Animal Products","010204","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png"
"getdata_interval_year_2011.11",2011,NA,NA,"Horse Meat","Animal Products","010205","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png"
"getdata_interval_year_2011.12",2011,"sachl","aschn","Edible Offal","Animal Products","010206","01","#e8d58e",3504747.43,NA,3504747.43,31788419.45,6399964438.06,-0.269,0.1,762,"nausa","ashkg","d3plus-1.9.8/icons/hs92/hs92_01.png"
"getdata_interval_year_2011.13",2011,"sachl","aschn","Poultry Meat","Animal Products","010207","01","#e8d58e",32644743.97,NA,32644743.97,278406670.77,26108440490.8,0.426,0.23,443,"sabra","ashkg","d3plus-1.9.8/icons/hs92/hs92_01.png"
"getdata_interval_year_2011.14",2011,NA,NA,"Other Meat","Animal Products","010208","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png"
"getdata_interval_year_2011.15",2011,"sachl","aschn","Animal Fat","Animal Products","010209","01","#e8d58e",533839.13,NA,533839.13,20124137.72,1025826417.3,0.997,0.09,204,"eudeu","eurus","d3plus-1.9.8/icons/hs92/hs92_01.png"
"getdata_interval_year_2011.16",2011,NA,NA,"Preserved Meat","Animal Products","010210","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png"
"getdata_interval_year_2011.17",2011,"sachl","aschn","Live Fish","Animal Products","010301","01","#e8d58e",1590.17,NA,1590.17,405397.28,1920444237.66,-0.671,0,899,"aschn","asjpn","d3plus-1.9.8/icons/hs92/hs92_01.png"
"getdata_interval_year_2011.18",2011,NA,NA,"Non-fillet Fresh Fish","Animal Products","010302","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png"
"getdata_interval_year_2011.19",2011,"sachl","aschn","Non-fillet Frozen Fish","Animal Products","010303","01","#e8d58e",93827897.63,64559.27,93892456.9,1456708544.17,24325948339.3,-1.441,0.7,1105,"nausa","asjpn","d3plus-1.9.8/icons/hs92/hs92_01.png"
"getdata_interval_year_2011.20",2011,"sachl","aschn","Fish Fillets","Animal Products","010304","01","#e8d58e",2520068.46,3150812.46,5670880.92,1591344309.55,21488557317.8,-1.027,0.02,1015,"aschn","nausa","d3plus-1.9.8/icons/hs92/hs92_01.png"
"getdata_interval_year_2011.21",2011,"sachl","aschn","Processed Fish","Animal Products","010305","01","#e8d58e",5409,50827.59,56236.59,121749791.59,6025350204.96,-1.442,0,1107,"eunor","eudeu","d3plus-1.9.8/icons/hs92/hs92_01.png"
"getdata_interval_year_2011.22",2011,"sachl","aschn","Crustaceans","Animal Products","010306","01","#e8d58e",3945865.07,1115439.48,5061304.55,49439441.08,20481025602.7,-1.721,0.04,1155,"astha","nausa","d3plus-1.9.8/icons/hs92/hs92_01.png"
"getdata_interval_year_2011.23",2011,"sachl","aschn","Molluscs","Animal Products","010307","01","#e8d58e",13639305.48,1614906.52,15254212,242625899.33,11319881863.1,-1.558,0.22,1132,"aschn","euesp","d3plus-1.9.8/icons/hs92/hs92_01.png"
