"","year","group","product_id","product","group_id","export_val","trade_exchange_val","world_trade_val","rca","color","image","import_val"
"1",2012,"Animal and Vegetable Bi-Products","031501","Pig and Poultry Fat","03",115423,115423,610043296.2,"0.04","#e0902f","d3plus/icons/hs/hs_03.png",NA
"2",2012,"Animal and Vegetable Bi-Products","031504","Fish Oil","03",9253364.44,9453056.73,1881025145.95,"1.08","#e0902f","d3plus/icons/hs/hs_03.png",199692.29
"3",2012,"Animal and Vegetable Bi-Products","031505","Wool Grease","03",NA,56393.52,312750405.38,NA,"#e0902f","d3plus/icons/hs/hs_03.png",56393.52
"4",2012,"Animal and Vegetable Bi-Products","031509","Pure Olive Oil","03",212402.82,212402.82,5681471021.98,"0.01","#e0902f","d3plus/icons/hs/hs_03.png",NA
"5",2012,"Animal and Vegetable Bi-Products","031515","Other Pure Vegetable Oils","03",172059.45,312939.15,4412345943.63,"0.01","#e0902f","d3plus/icons/hs/hs_03.png",140879.7
"6",2012,"Animal and Vegetable Bi-Products","031516","Other Vegetable Oils","03",NA,14882.43,4333645321.61,NA,"#e0902f","d3plus/icons/hs/hs_03.png",14882.43
"7",2012,"Animal and Vegetable Bi-Products","031517","Margarine","03",417303.69,569916.09,6020704983.33,"0.02","#e0902f","d3plus/icons/hs/hs_03.png",152612.4
"8",2012,"Animal and Vegetable Bi-Products","031518","Inedible Fats and Oils","03",NA,19697.68,2355350814.36,NA,"#e0902f","d3plus/icons/hs/hs_03.png",19697.68
"9",2012,"Animal and Vegetable Bi-Products","031519","Stearic Acid","03",65124.87,182162.16,9457364227.83,"0","#e0902f","d3plus/icons/hs/hs_03.png",117037.29
"10",2012,"Animal and Vegetable Bi-Products","031520","Glycerol","03",NA,1894.5,1452104699.31,NA,"#e0902f","d3plus/icons/hs/hs_03.png",1894.5
"11",2012,"Animal and Vegetable Bi-Products","031521","Waxes","03",NA,90147,405135672.35,NA,"#e0902f","d3plus/icons/hs/hs_03.png",90147
"12",2012,"Animal Hides","084101","Equine and Bovine Hides","08",506745.48,506745.48,5752267655.86,"0.02","#98df8a","d3plus/icons/hs/hs_08.png",NA
"13",2012,"Animal Hides","084102","Sheep Hides","08",1423632.32,1423632.32,1474116194.14,"0.21","#98df8a","d3plus/icons/hs/hs_08.png",NA
"14",2012,"Animal Hides","084104","Tanned Equine and Bovine Hides","08",10280606.8,10280606.8,16517222142.6,"0.14","#98df8a","d3plus/icons/hs/hs_08.png",NA
"15",2012,"Animal Hides","084107","Leather of Other Animals","08",NA,1554009.51,1261430435.88,NA,"#98df8a","d3plus/icons/hs/hs_08.png",1554009.51
"16",2012,"Animal Hides","084108","Chamois Leather","08",NA,47709,174734063.82,NA,"#98df8a","d3plus/icons/hs/hs_08.png",47709
"17",2012,"Animal Hides","084109","Patent Leather","08",NA,8379,443585703.26,NA,"#98df8a","d3plus/icons/hs/hs_08.png",8379
"18",2012,"Animal Hides","084111","Leather Sheets","08",NA,1185.59,225981848.05,NA,"#98df8a","d3plus/icons/hs/hs_08.png",1185.59
"19",2012,"Animal Hides","084201","Saddlery","08",NA,931847.65,1286471816.47,NA,"#98df8a","d3plus/icons/hs/hs_08.png",931847.65
"20",2012,"Animal Hides","084202","Trunks and Cases","08",NA,186100404.78,46175435840.9,NA,"#98df8a","d3plus/icons/hs/hs_08.png",186100404.78
"21",2012,"Animal Hides","084203","Leather Apparel","08",NA,9681004.75,8316322119.18,NA,"#98df8a","d3plus/icons/hs/hs_08.png",9681004.75
"22",2012,"Animal Hides","084205","Other Leather Articles","08",NA,757822.15,2217851670.24,NA,"#98df8a","d3plus/icons/hs/hs_08.png",757822.15
"23",2012,"Animal Hides","084302","Tanned Furskins","08",NA,3904,2489368206.54,NA,"#98df8a","d3plus/icons/hs/hs_08.png",3904
"24",2012,"Animal Hides","084303","Furskin Apparel","08",NA,66776.85,2268789518.94,NA,"#98df8a","d3plus/icons/hs/hs_08.png",66776.85
"25",2012,"Animal Hides","084304","Artificial Fur","08",NA,38381.81,62541447.69,NA,"#98df8a","d3plus/icons/hs/hs_08.png",38381.81
"26",2012,"Animal Products","010106","Other Animals","01",131808.73,131808.73,1114707414.56,"0.03","#e8d58e","d3plus/icons/hs/hs_01.png",NA
"27",2012,"Animal Products","010203","Pig Meat","01",12993765.83,12993765.83,30376162876.8,"0.09","#e8d58e","d3plus/icons/hs/hs_01.png",NA
"28",2012,"Animal Products","010206","Edible Offal","01",14537963.94,14537963.94,6721870950.39,"0.48","#e8d58e","d3plus/icons/hs/hs_01.png",NA
"29",2012,"Animal Products","010207","Poultry Meat","01",35012882.79,35012882.79,25952629869.6,"0.3","#e8d58e","d3plus/icons/hs/hs_01.png",NA
"30",2012,"Animal Products","010209","Animal Fat","01",975746.53,975746.53,1049890536.12,"0.2","#e8d58e","d3plus/icons/hs/hs_01.png",NA
"31",2012,"Animal Products","010301","Live Fish","01",NA,1425,1782128345.89,NA,"#e8d58e","d3plus/icons/hs/hs_01.png",1425
