"","year","origin_id","destination_id","hs92_product_name","hs92_group_name","hs92_product_id","hs92_group_id","hs92_color","export_val","import_val","trade_exchange_val","origin_total_export_val","world_total_export_val","pci","rca","pci_rank","top_exporter","top_importer","hs92_icon"
"1",2013,NA,NA,"Horses","Animal Products","010101","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png"
"2",2013,NA,NA,"Bovine","Animal Products","010102","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png"
"3",2013,NA,NA,"Pigs","Animal Products","010103","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png"
"4",2013,NA,NA,"Sheep and Goats","Animal Products","010104","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png"
"5",2013,NA,NA,"Poultry","Animal Products","010105","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png"
"6",2013,"sachl","aschn","Other Animals","Animal Products","010106","01","#e8d58e",164205.84,NA,164205.84,1867224.97,1209689556.66,-1.364,0.03,1096,"eunld","nausa","d3plus-1.9.8/icons/hs92/hs92_01.png"
"7",2013,"sachl","aschn","Bovine Meat","Animal Products","010201","01","#e8d58e",9509,NA,9509,32447232.77,20919374700,-0.209,0,744,"nausa","euita","d3plus-1.9.8/icons/hs92/hs92_01.png"
"8",2013,"sachl","aschn","Frozen Bovine Meat","Animal Products","010202","01","#e8d58e",97209,NA,97209,14220285.17,19355939482.1,-0.711,0,925,"sabra","eurus","d3plus-1.9.8/icons/hs92/hs92_01.png"
"9",2013,"sachl","aschn","Pig Meat","Animal Products","010203","01","#e8d58e",28231450.6,NA,28231450.6,423586549.25,30387860582.5,0.874,0.17,256,"eudeu","asjpn","d3plus-1.9.8/icons/hs92/hs92_01.png"
"10",2013,NA,NA,"Sheep and Goat Meat","Animal Products","010204","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png"
"11",2013,NA,NA,"Horse Meat","Animal Products","010205","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png"
"12",2013,"sachl","aschn","Edible Offal","Animal Products","010206","01","#e8d58e",26100221.03,NA,26100221.03,49439300.74,7178468697.99,-0.41,0.68,827,"nausa","aschn","d3plus-1.9.8/icons/hs92/hs92_01.png"
"13",2013,"sachl","aschn","Poultry Meat","Animal Products","010207","01","#e8d58e",25507945.45,NA,25507945.45,278324775.24,26810214020.2,0.338,0.18,505,"sabra","assau","d3plus-1.9.8/icons/hs92/hs92_01.png"
"14",2013,NA,NA,"Other Meat","Animal Products","010208","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png"
"15",2013,"sachl","aschn","Animal Fat","Animal Products","010209","01","#e8d58e",685880.43,NA,685880.43,25218074.14,975627703.85,0.802,0.13,289,"eudeu","eurus","d3plus-1.9.8/icons/hs92/hs92_01.png"
"16",2013,NA,NA,"Preserved Meat","Animal Products","010210","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png"
"17",2013,NA,NA,"Live Fish","Animal Products","010301","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png"
"18",2013,"sachl","aschn","Non-fillet Fresh Fish","Animal Products","010302","01","#e8d58e",4514164.41,77762.19,4591926.6,467705276.3,15444086970.9,-1.075,0.05,1024,"eunor","nausa","d3plus-1.9.8/icons/hs92/hs92_01.png"
"19",2013,"sachl","aschn","Non-fillet Frozen Fish","Animal Products","010303","01","#e8d58e",84442216.27,82700.14,84524916.41,1385422874.83,23814040797.2,-1.643,0.66,1146,"eurus","aschn","d3plus-1.9.8/icons/hs92/hs92_01.png"
"20",2013,"sachl","aschn","Fish Fillets","Animal Products","010304","01","#e8d58e",2636400.23,3880199.83,6516600.06,2211288906.43,21767729971.6,-1.001,0.02,1003,"aschn","nausa","d3plus-1.9.8/icons/hs92/hs92_01.png"
"21",2013,"sachl","aschn","Processed Fish","Animal Products","010305","01","#e8d58e",338525,256678.85,595203.85,111848602.84,5792424689.6,-1.405,0.01,1105,"eunor","eudeu","d3plus-1.9.8/icons/hs92/hs92_01.png"
"22",2013,"sachl","aschn","Crustaceans","Animal Products","010306","01","#e8d58e",10084757.17,1478730.71,11563487.88,52701872.28,22855129120.1,-1.768,0.08,1161,"asind","nausa","d3plus-1.9.8/icons/hs92/hs92_01.png"
"23",2013,"sachl","aschn","Molluscs","Animal Products","010307","01","#e8d58e",8626941.16,1518335.09,10145276.25,196293037.09,10827253575.1,-1.559,0.15,1137,"aschn","asjpn","d3plus-1.9.8/icons/hs92/hs92_01.png"
"24",2013,"sachl","aschn","Milk","Animal Products","010401","01","#e8d58e",273691.05,NA,273691.05,3089280.36,9108408060.58,-0.012,0.01,662,"eudeu","euita","d3plus-1.9.8/icons/hs92/hs92_01.png"
"25",2013,"sachl","aschn","Concentrated Milk","Animal Products","010402","01","#e8d58e",23866558.42,NA,23866558.42,140776193.86,25687833065.6,-0.918,0.17,975,"ocnzl","aschn","d3plus-1.9.8/icons/hs92/hs92_01.png"
"26",2013,NA,NA,"Fermented Milk Products","Animal Products","010403","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png"
"27",2013,"sachl","aschn","Whey","Animal Products","010404","01","#e8d58e",849496.86,NA,849496.86,12629529.27,6152401575.88,0.461,0.03,449,"nausa","aschn","d3plus-1.9.8/icons/hs92/hs92_01.png"
"28",2013,NA,NA,"Butter","Animal Products","010405","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png"
"29",2013,NA,NA,"Cheese","Animal Products","010406","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png"
"30",2013,NA,NA,"Eggs","Animal Products","010407","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png"
"31",2013,NA,NA,"Processed Egg Products","Animal Products","010408","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png"
"32",2013,"sachl","aschn","Honey","Animal Products","010409","01","#e8d58e",136373.78,NA,136373.78,31515436.85,2019097583.59,-0.889,0.01,967,"aschn","nausa","d3plus-1.9.8/icons/hs92/hs92_01.png"
"33",2013,"sachl","aschn","Other Edible Animal Products","Animal Products","010410","01","#e8d58e",NA,2797.22,2797.22,NA,429538040.6,-0.744,NA,933,"asidn","assgp","d3plus-1.9.8/icons/hs92/hs92_01.png"
"34",2013,"sachl","aschn","Human Hair","Animal Products","010501","01","#e8d58e",NA,22111,22111,NA,154354290.35,-2.009,NA,1177,"asind","aschn","d3plus-1.9.8/icons/hs92/hs92_01.png"
"35",2013,"sachl","aschn","Pig Hair","Animal Products","010502","01","#e8d58e",NA,1277949.29,1277949.29,NA,136524732.89,-0.776,NA,943,"aschn","eudeu","d3plus-1.9.8/icons/hs92/hs92_01.png"
"36",2013,NA,NA,"Horse Hair","Animal Products","010503","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png"
"37",2013,"sachl","aschn","Animal Organs","Animal Products","010504","01","#e8d58e",58986,NA,58986,23602704.2,4762051440.18,-0.991,0,996,"aschn","eudeu","d3plus-1.9.8/icons/hs92/hs92_01.png"
"38",2013,"sachl","aschn","Bird Feathers and Skins","Animal Products","010505","01","#e8d58e",NA,18261.51,18261.51,NA,2291330820.58,0.65,NA,371,"aschn","asjpn","d3plus-1.9.8/icons/hs92/hs92_01.png"
"39",2013,"sachl","aschn","Processed Bones","Animal Products","010506","01","#e8d58e",12675,NA,12675,852511.17,390393538.69,-0.393,0.01,823,"eudeu","asjpn","d3plus-1.9.8/icons/hs92/hs92_01.png"
"40",2013,NA,NA,"Raw Bones","Animal Products","010507","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png"
