"","year","origin_id","destination_id","hs92_product_name","hs92_group_name","hs92_product_id","hs92_group_id","hs92_color","export_val","import_val","trade_exchange_val","origin_total_export_val","world_total_export_val","pci","rca","pci_rank","hs92_icon","top_importer","top_exporter"
"1",2014,NA,NA,"Horses","Animal Products","0101","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png",NA,NA
"2",2014,NA,NA,"Bovine","Animal Products","0102","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png",NA,NA
"3",2014,NA,NA,"Pigs","Animal Products","0103","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png",NA,NA
"4",2014,NA,NA,"Sheep and Goats","Animal Products","0104","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png",NA,NA
"5",2014,NA,NA,"Poultry","Animal Products","0105","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png",NA,NA
"6",2014,"sachl","aschn","Other Animals","Animal Products","0106","01","#e8d58e",529633.37,NA,529633.37,2262677.4,1287846541.04,-1.508,0.083,1111,"d3plus-1.9.8/icons/hs92/hs92_01.png","Qatar","Netherlands"
"7",2014,NA,NA,"Bovine Meat","Animal Products","0201","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png",NA,NA
"8",2014,NA,NA,"Frozen Bovine Meat","Animal Products","0202","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png",NA,NA
"9",2014,"sachl","aschn","Pig Meat","Animal Products","0203","01","#e8d58e",35156110.46,NA,35156110.46,454016901.13,30850326320.1,0.653,0.229,361,"d3plus-1.9.8/icons/hs92/hs92_01.png","Japan","Germany"
"10",2014,"sachl","aschn","Sheep and Goat Meat","Animal Products","0204","01","#e8d58e",74023,NA,74023,39765126.08,7164019394.5,-1.267,0.002,1067,"d3plus-1.9.8/icons/hs92/hs92_01.png","China","New Zealand"
"11",2014,NA,NA,"Horse Meat","Animal Products","0205","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png",NA,NA
"12",2014,"sachl","aschn","Edible Offal","Animal Products","0206","01","#e8d58e",28384497.01,NA,28384497.01,51105381.16,7855610899.18,-0.188,0.727,741,"d3plus-1.9.8/icons/hs92/hs92_01.png","Hong Kong","United States"
"13",2014,"sachl","aschn","Poultry Meat","Animal Products","0207","01","#e8d58e",29274557.79,NA,29274557.79,287258788.12,27965248909,0.2,0.211,557,"d3plus-1.9.8/icons/hs92/hs92_01.png","Germany","Brazil"
"14",2014,NA,NA,"Other Meat","Animal Products","0208","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png",NA,NA
"15",2014,"sachl","aschn","Animal Fat","Animal Products","0209","01","#e8d58e",398204.79,NA,398204.79,27078399.16,725204911.15,0.453,0.111,444,"d3plus-1.9.8/icons/hs92/hs92_01.png","Mexico","Germany"
"16",2014,NA,NA,"Preserved Meat","Animal Products","0210","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png",NA,NA
"17",2014,NA,NA,"Live Fish","Animal Products","0301","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png",NA,NA
"18",2014,"sachl","aschn","Non-fillet Fresh Fish","Animal Products","0302","01","#e8d58e",20854521.15,207091.66,21061612.81,567642209.26,16005362933.2,-1.247,0.262,1062,"d3plus-1.9.8/icons/hs92/hs92_01.png","United States","Norway"
"19",2014,"sachl","aschn","Non-fillet Frozen Fish","Animal Products","0303","01","#e8d58e",112286489.81,195878.31,112482368.12,1715877721.33,23654397657.4,-1.63,0.955,1138,"d3plus-1.9.8/icons/hs92/hs92_01.png","China","United States"
"20",2014,"sachl","aschn","Fish Fillets","Animal Products","0304","01","#e8d58e",4572260.15,7462068.35,12034328.5,2530334991.89,23081684731.3,-1.102,0.04,1031,"d3plus-1.9.8/icons/hs92/hs92_01.png","United States","China"
"21",2014,"sachl","aschn","Processed Fish","Animal Products","0305","01","#e8d58e",66664,1888,68552,90797363.12,6196866062.55,-1.451,0.002,1104,"d3plus-1.9.8/icons/hs92/hs92_01.png","Germany","Norway"
"22",2014,"sachl","aschn","Crustaceans","Animal Products","0306","01","#e8d58e",14206266.74,5337795.12,19544061.86,74957532.13,27018340591.9,-1.943,0.106,1179,"d3plus-1.9.8/icons/hs92/hs92_01.png","United States","India"
"23",2014,"sachl","aschn","Molluscs","Animal Products","0307","01","#e8d58e",8111979.39,2083704.16,10195683.55,241498475.38,11664445269.3,-1.42,0.14,1094,"d3plus-1.9.8/icons/hs92/hs92_01.png","Spain","China"
"24",2014,"sachl","aschn","Milk","Animal Products","0401","01","#e8d58e",1048114.78,NA,1048114.78,5704416.34,9530167576.83,-0.055,0.022,674,"d3plus-1.9.8/icons/hs92/hs92_01.png","Germany","Germany"
"25",2014,"sachl","aschn","Concentrated Milk","Animal Products","0402","01","#e8d58e",25024353.34,14491.79,25038845.13,155035478.86,27705100435.6,-0.788,0.182,937,"d3plus-1.9.8/icons/hs92/hs92_01.png","China","New Zealand"
"26",2014,NA,NA,"Fermented Milk Products","Animal Products","0403","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png",NA,NA
"27",2014,"sachl","aschn","Whey","Animal Products","0404","01","#e8d58e",1199781.13,NA,1199781.13,17195639.51,6144948322.6,0.563,0.039,402,"d3plus-1.9.8/icons/hs92/hs92_01.png","Netherlands","United States"
"28",2014,NA,NA,"Butter","Animal Products","0405","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png",NA,NA
"29",2014,NA,NA,"Cheese","Animal Products","0406","01","#e8d58e",NA,NA,NA,NA,NA,NA,NA,NA,"d3plus-1.9.8/icons/hs92/hs92_01.png",NA,NA
